name,village,skill1,skill2,experience
vikash,Bandakeri,production helper,guard,I want to be employed as a production helper since I am out of work
jitendra kumar,Budingod,factory worker,guard,I used to work in the city as a factory worker when I started off in 2010 and I am unable to migrate since the pandemic
anoop singh,Budingod,industry worker,warden,I am a industry worker and things have been difficult during pandemic
durganand,Budingod,labor,watchman,I am currently a labor and have been one since 2010 and I have no job since the pandemic
kiran,Bandakeri,machinery handler,labour,"I used to work as a machinery handler and roam around for work, but I cannot anymore"
sunder lal,Budingod,chaukidaar,production helper,"from year 2010 until recently, I worked as a chaukidaar around the village, and I have migrated to a lot of places"
aslam allam,Aladakatti,labor,security,I used to work in the city as a labor when I started off in 2010 and I am unable to migrate since the pandemic
birju,Bandakeri,guard,industry worker,I am an old man working around as a guard since 2010
hemant,Aladakatti,construction worker,watchman,I work as a construction worker for many years now
vanish khan,Budingod,machine operator,guard,I work as a machine operator for many years now
tara singh rawat,Bandakeri,labour,security,I want to be employed as a labour since I am out of work
amit,Budingod,security,construction worker,I am currently a security and have been one since 2010 and I have no job since the pandemic
vishal mishra,Budingod,warden,machine operator,I work as a warden for many years now
karan bajaj,Budingod,production helper,labour,"I used to work as a production helper and roam around for work, but I cannot anymore"
gaurav sethi,Bandakeri,security,machine operator,I am a security and things have been difficult during pandemic
sok. mohmad,Budingod,security,industry worker,I am an old man working around as a security since 2010
piyush,Budingod,labor,machinery handler,I am currently a labor and have been one since 2010 and I have no job since the pandemic
madan,Aladakatti,chaukidaar,machine operator,I am currently a chaukidaar and have been one since 2010 and I have no job since the pandemic
prem singh bidla,Bandakeri,guard,machine operator,I have been looking for work as a guard for a long time now
prem chand,Aladakatti,construction worker,machine operator,I am a construction worker and things have been difficult during pandemic
amar,Bandakeri,warden,construction worker,I am an old man working around as a warden since 2010
jatin @ sonu,Aladakatti,mason,warden,I want to be employed as a mason since I am out of work
malkeet singh,Budingod,labour,chaukidaar,I work as a labour for many years now
kayamuddin,Aladakatti,labour,factory worker,I want to be employed as a labour since I am out of work
sunny,Budingod,guard,industry worker,"Since 2010, I worked on many sites as guard and I am no longer able to work"
yogesh,Aladakatti,watchman,machinery handler,I want to be employed as a watchman since I am out of work
jay kumar,Budingod,machine operator,security,I used to work in the city as a machine operator when I started off in 2010 and I am unable to migrate since the pandemic
mukul yadav,Aladakatti,mason,security,I have been looking for work as a mason for a long time now
gaurav shankar,Bandakeri,chaukidaar,construction worker,I used to work in the city as a chaukidaar when I started off in 2010 and I am unable to migrate since the pandemic
shakil,Budingod,factory worker,guard,I am currently a factory worker and have been one since 2010 and I have no job since the pandemic
ram dayal,Bandakeri,factory worker,labour,I have been looking for work as a factory worker for a long time now
krisana braman,Aladakatti,chaukidaar,mason,"I used to work as a chaukidaar and roam around for work, but I cannot anymore"
ranbir,Bandakeri,machinery handler,construction worker,"from year 2010 until recently, I worked as a machinery handler around the village, and I have migrated to a lot of places"
manish khandelwal,Budingod,labor,machine operator,I work as a labor for many years now
amit kumar,Budingod,watchman,labor,"I used to work as a watchman and roam around for work, but I cannot anymore"
rajkumar,Bandakeri,labourer,production helper,"I used to work as a labourer and roam around for work, but I cannot anymore"
sarvesh kumar pandey,Bandakeri,labour,machinery handler,I work as a labour for many years now
kamlesh,Bandakeri,machinery handler,chaukidaar,I have been looking for work as a machinery handler for a long time now
rohit kumar,Aladakatti,warden,labour,"from year 2010 until recently, I worked as a warden around the village, and I have migrated to a lot of places"
avinsh,Aladakatti,watchman,machine operator,"Since 2010, I worked on many sites as watchman and I am no longer able to work"
sita ram,Budingod,factory worker,labour,I have been looking for work as a factory worker for a long time now
vishal,Budingod,production helper,labor,I am a production helper and things have been difficult during pandemic
mukesh soni,Bandakeri,labourer,machine operator,I have been looking for work as a labourer for a long time now
golu,Bandakeri,labor,guard,"I used to work as a labor and roam around for work, but I cannot anymore"
vijay,Budingod,warden,labour,"from year 2010 until recently, I worked as a warden around the village, and I have migrated to a lot of places"
amit kumar yadav,Bandakeri,guard,machine operator,I am an old man working around as a guard since 2010
satnosh,Budingod,watchman,mason,I have been looking for work as a watchman for a long time now
vishal,Bandakeri,factory worker,labourer,I used to work in the city as a factory worker when I started off in 2010 and I am unable to migrate since the pandemic
prem giri pradhan ji,Budingod,labor,watchman,I used to work in the city as a labor when I started off in 2010 and I am unable to migrate since the pandemic
nanhu khan,Bandakeri,labor,warden,I have been looking for work as a labor for a long time now
traun kumar,Budingod,mason,industry worker,I have been looking for work as a mason for a long time now
sanjay charee,Aladakatti,labourer,production helper,I have been looking for work as a labourer for a long time now
ashfaq,Aladakatti,construction worker,industry worker,"I used to work as a construction worker and roam around for work, but I cannot anymore"
mohit,Budingod,guard,labor,I am a guard and things have been difficult during pandemic
bhrat narayn,Bandakeri,industry worker,construction worker,I want to be employed as a industry worker since I am out of work
kushal,Aladakatti,mason,security,I have been looking for work as a mason for a long time now
lakhan,Budingod,factory worker,mason,I work as a factory worker for many years now
gajender singh @ goldy,Aladakatti,industry worker,security,I used to work in the city as a industry worker when I started off in 2010 and I am unable to migrate since the pandemic
ravish,Bandakeri,construction worker,chaukidaar,I want to be employed as a construction worker since I am out of work
khadak singh,Aladakatti,chaukidaar,construction worker,I have been looking for work as a chaukidaar for a long time now
shyam sunder,Budingod,labor,production helper,"from year 2010 until recently, I worked as a labor around the village, and I have migrated to a lot of places"
sahil,Bandakeri,construction worker,guard,I used to work in the city as a construction worker when I started off in 2010 and I am unable to migrate since the pandemic
kamal jit singh,Aladakatti,factory worker,mason,I used to work in the city as a factory worker when I started off in 2010 and I am unable to migrate since the pandemic
